"GEO_ID","NAME","B25040_001E","B25040_001M","B25040_002E","B25040_002M","B25040_003E","B25040_003M","B25040_004E","B25040_004M","B25040_005E","B25040_005M","B25040_006E","B25040_006M","B25040_007E","B25040_007M","B25040_008E","B25040_008M","B25040_009E","B25040_009M","B25040_010E","B25040_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Utility gas","Margin of Error!!Total:!!Utility gas","Estimate!!Total:!!Bottled, tank, or LP gas","Margin of Error!!Total:!!Bottled, tank, or LP gas","Estimate!!Total:!!Electricity","Margin of Error!!Total:!!Electricity","Estimate!!Total:!!Fuel oil, kerosene, etc.","Margin of Error!!Total:!!Fuel oil, kerosene, etc.","Estimate!!Total:!!Coal or coke","Margin of Error!!Total:!!Coal or coke","Estimate!!Total:!!Wood","Margin of Error!!Total:!!Wood","Estimate!!Total:!!Solar energy","Margin of Error!!Total:!!Solar energy","Estimate!!Total:!!Other fuel","Margin of Error!!Total:!!Other fuel","Estimate!!Total:!!No fuel used","Margin of Error!!Total:!!No fuel used",
"0500000US01001","Autauga County, Alabama","21397","325","7295","505","2085","325","11769","557","9","16","0","28","128","88","0","28","0","28","111","79",
"0500000US01003","Baldwin County, Alabama","80930","1127","8168","617","1589","264","70199","1178","38","36","0","28","453","145","28","32","23","27","432","131",
"0500000US01005","Barbour County, Alabama","9345","313","671","140","1106","169","7392","300","33","52","0","22","90","56","0","22","6","9","47","30",
"0500000US01007","Bibb County, Alabama","6891","333","1414","244","749","206","4533","381","4","8","0","22","158","91","0","22","0","22","33","23",
"0500000US01009","Blount County, Alabama","20847","394","2406","282","2170","311","15885","572","21","25","0","28","267","103","2","3","4","7","92","57",
"0500000US01011","Bullock County, Alabama","3521","255","428","173","572","193","2417","291","0","19","0","19","104","114","0","19","0","19","0","19",
"0500000US01013","Butler County, Alabama","6506","290","822","127","1088","190","4455","300","0","19","0","19","98","55","0","19","0","19","43","30",
"0500000US01015","Calhoun County, Alabama","44605","644","13740","636","2720","323","27454","745","36","25","0","28","492","166","0","28","35","41","128","74",
"0500000US01017","Chambers County, Alabama","13448","405","2229","290","1364","196","9550","448","3","6","0","25","262","121","0","25","1","3","39","33",
"0500000US01019","Cherokee County, Alabama","10737","445","1400","219","2499","303","6284","438","69","71","0","22","393","140","0","22","76","67","16","16",
"0500000US01021","Chilton County, Alabama","16927","473","1508","256","2962","404","12033","623","26","30","0","25","344","153","0","25","2","3","52","41",
"0500000US01023","Choctaw County, Alabama","5300","267","260","90","1195","183","3524","264","36","41","0","19","268","101","0","19","9","13","8","9",
"0500000US01025","Clarke County, Alabama","9090","350","2055","249","1207","229","5571","383","5","8","0","22","140","62","0","22","0","22","112","57",
"0500000US01027","Clay County, Alabama","5198","240","955","170","697","165","3051","251","0","19","8","14","442","120","0","19","0","19","45","43",
"0500000US01029","Cleburne County, Alabama","5680","199","429","107","1654","204","3297","209","27","40","0","19","243","71","0","19","3","4","27","22",
"0500000US01031","Coffee County, Alabama","19924","343","1343","216","953","118","17463","375","2","3","0","28","47","19","0","28","3","4","113","41",
"0500000US01033","Colbert County, Alabama","21880","440","6091","493","1569","209","13776","579","85","45","63","91","218","64","9","12","36","46","33","29",
"0500000US01035","Conecuh County, Alabama","4553","274","724","214","392","129","3273","328","8","13","0","19","117","67","0","19","0","19","39","41",
"0500000US01037","Coosa County, Alabama","4032","248","273","89","898","165","2650","238","5","9","0","19","186","81","0","19","19","23","1","2",
"0500000US01039","Covington County, Alabama","14852","376","2525","242","1068","172","11033","391","14","22","0","25","178","83","0","25","6","9","28","25",
"0500000US01041","Crenshaw County, Alabama","4943","207","609","99","968","140","3238","189","20","22","0","19","78","51","0","19","15","17","15","13",
"0500000US01043","Cullman County, Alabama","31034","570","3418","322","4009","406","22796","610","90","72","14","22","522","175","0","28","0","28","185","85",
"0500000US01045","Dale County, Alabama","18806","470","1763","241","597","133","16165","568","46","37","8","13","73","52","0","25","12","19","142","66",
"0500000US01047","Dallas County, Alabama","15910","419","6479","457","1796","236","7512","424","9","14","0","25","78","47","0","25","8","12","28","19",
"0500000US01049","DeKalb County, Alabama","26040","620","2650","319","4620","425","17839","595","70","53","0","28","719","182","0","28","25","27","117","57",
"0500000US01051","Elmore County, Alabama","29708","497","5060","460","3411","391","20929","682","22","24","0","28","119","66","0","28","17","26","150","93",
"0500000US01053","Escambia County, Alabama","13089","449","1456","218","416","121","10995","485","0","25","0","25","165","67","0","25","4","7","53","33",
"0500000US01055","Etowah County, Alabama","38942","643","14707","686","2440","285","21342","679","103","70","0","28","301","87","0","28","6","12","43","31",
"0500000US01057","Fayette County, Alabama","6802","239","1449","219","928","157","4171","307","23","23","14","16","162","66","0","19","0","19","55","35",
"0500000US01059","Franklin County, Alabama","11048","339","3858","287","772","153","6175","411","37","32","0","25","151","84","0","25","20","27","35","38",
"0500000US01061","Geneva County, Alabama","10383","331","510","165","528","125","9188","360","17","22","0","22","88","43","37","45","0","22","15","15",
"0500000US01063","Greene County, Alabama","2951","246","477","162","580","158","1752","247","0","17","0","17","127","92","0","17","0","17","15","17",
"0500000US01065","Hale County, Alabama","5650","231","1040","183","771","161","3629","229","17","17","0","19","129","72","0","19","19","25","45","34",
"0500000US01067","Henry County, Alabama","6630","236","236","73","348","89","5919","268","0","19","0","19","79","47","0","19","0","19","48","40",
"0500000US01069","Houston County, Alabama","39311","452","2421","181","570","120","35984","419","23","16","2","2","85","28","5","5","3","7","218","46",
"0500000US01071","Jackson County, Alabama","20695","494","2284","274","3208","334","14420","591","32","26","0","28","693","207","0","28","15","19","43","24",
"0500000US01073","Jefferson County, Alabama","261231","1769","134006","1754","3823","410","121364","2117","424","157","53","41","543","188","0","28","190","80","828","157",
"0500000US01075","Lamar County, Alabama","5856","268","1498","217","733","156","3378","258","45","48","0","19","165","85","0","19","19","22","18","17",
"0500000US01077","Lauderdale County, Alabama","38471","588","10454","683","2473","357","24785","836","35","41","0","28","480","132","0","28","13","20","231","112",
"0500000US01079","Lawrence County, Alabama","12677","322","2114","282","1589","202","8539","399","26","19","0","25","352","129","0","25","15","24","42","53",
"0500000US01081","Lee County, Alabama","60237","864","10155","652","2089","348","47353","987","23","39","23","35","238","136","8","11","80","60","268","104",
"0500000US01083","Limestone County, Alabama","32143","509","3904","362","2228","295","25304","645","96","60","35","49","319","116","0","28","96","92","161","83",
"0500000US01085","Lowndes County, Alabama","4251","145","364","113","1216","161","2525","212","3","5","0","19","95","47","0","19","33","36","15","14",
"0500000US01087","Macon County, Alabama","7474","264","2510","194","1388","160","3424","251","22","28","0","19","63","35","0","19","7","12","60","30",
"0500000US01089","Madison County, Alabama","148189","1035","32957","1071","4956","502","108928","1393","200","97","8","13","538","153","7","10","60","47","535","163",
