"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B25040_001E","Estimate!!Total:"
"B25040_001M","Margin of Error!!Total:"
"B25040_002E","Estimate!!Total:!!Utility gas"
"B25040_002M","Margin of Error!!Total:!!Utility gas"
"B25040_003E","Estimate!!Total:!!Bottled, tank, or LP gas"
"B25040_003M","Margin of Error!!Total:!!Bottled, tank, or LP gas"
"B25040_004E","Estimate!!Total:!!Electricity"
"B25040_004M","Margin of Error!!Total:!!Electricity"
"B25040_005E","Estimate!!Total:!!Fuel oil, kerosene, etc."
"B25040_005M","Margin of Error!!Total:!!Fuel oil, kerosene, etc."
"B25040_006E","Estimate!!Total:!!Coal or coke"
"B25040_006M","Margin of Error!!Total:!!Coal or coke"
"B25040_007E","Estimate!!Total:!!Wood"
"B25040_007M","Margin of Error!!Total:!!Wood"
"B25040_008E","Estimate!!Total:!!Solar energy"
"B25040_008M","Margin of Error!!Total:!!Solar energy"
"B25040_009E","Estimate!!Total:!!Other fuel"
"B25040_009M","Margin of Error!!Total:!!Other fuel"
"B25040_010E","Estimate!!Total:!!No fuel used"
"B25040_010M","Margin of Error!!Total:!!No fuel used"
